,Pay_Type_1,Pay_Type_2,Total_Payment
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,150.0,150.0
14,0.0,3100.0,3100.0
15,1470.0,0.0,1470.0
16,1957.5,1601.43,3558.9300000000003
17,146265.0,450.0,146715.0
18,170.37,17754.63,17925.0
19,561.34,21775.0,22336.34
20,4386.4,31270.0,35656.4
21,3667.5,24950.0,28617.5
22,1450.0,11350.0,12800.0
23,2010.0,3600.0,5610.0
24,1502.88,1525.0,3027.88
25,1055.0,0.0,1055.0
26,1639.63,1450.0,3089.63
27,6683.5599999999995,1700.0,8383.56
28,3775.0,450.0,4225.0
29,630.0,0.0,630.0
30,1260.0,0.0,1260.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,300.0,0.0,300.0
46,0.0,100.0,100.0
47,134.26,0.0,134.26
48,568.52,0.0,568.52
49,743.64,660.21,1403.85
50,3210.96,450.0,3660.96
51,3465.94,425.0,3890.94
52,3588.72,150.0,3738.72
53,5030.03,300.0,5330.03
54,3399.84,0.0,3399.84
55,4745.61,0.0,4745.61
56,4769.22,0.0,4769.22
57,4167.3099999999995,0.0,4167.3099999999995
58,5024.2,0.0,5024.2
59,572.0,150.0,722.0
60,1200.0,500.0,1700.0
61,4744.0,300.0,5044.0
62,9778.0,0.0,9778.0
63,8286.0,0.0,8286.0
64,2634.0,0.0,2634.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,825.0,150.0,975.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,735.0,0.0,735.0
84,0.0,0.0,0.0
85,1470.0,0.0,1470.0
86,1470.0,0.0,1470.0
87,735.0,0.0,735.0
88,735.0,0.0,735.0
89,0.0,50.0,50.0
90,735.0,0.0,735.0
91,1470.0,0.0,1470.0
92,1470.0,0.0,1470.0
93,1470.0,0.0,1470.0
94,0.0,0.0,0.0
95,2205.0,0.0,2205.0
96,735.0,0.0,735.0
97,735.0,0.0,735.0
98,0.0,1450.0,1450.0
99,0.0,0.0,0.0
100,0.0,100.0,100.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,349.4,100.0,449.4
107,539.4,0.0,539.4
108,507.5,1522.5,2030.0
109,0.0,1068.29,1068.29
110,686.0,738.46,1424.46
111,735.0,2655.0,3390.0
112,2764.84,2530.25,5295.09
113,1435.0,1350.0,2785.0
114,1933.75,1067.5,3001.25
115,0.0,0.0,0.0
116,1750.0,285.55,2035.55
117,1505.8600000000001,1100.0,2605.86
118,225.0,925.0,1150.0
119,960.0,1855.0,2815.0
120,1787.1100000000001,2426.52,4213.63
121,2638.76,100.0,2738.76
122,701.25,0.0,701.25
123,1886.25,0.0,1886.25
124,0.0,0.0,0.0
125,134.26,0.0,134.26
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,82.2,82.2
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,191.79999999999998,106.86,298.65999999999997
135,172.58,78.37,250.95000000000002
136,23.61,0.0,23.61
137,23.61,43.36,66.97
138,146.01,67.64,213.65
139,23.61,43.349999999999994,66.96
140,255.0,45.0,300.0
141,0.0,0.0,0.0
142,23.61,14.45,38.06
143,183.10000000000002,50.59,233.69
144,0.0,150.0,150.0
145,145.0,350.0,495.0
146,250.0,270.0,520.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,255.0,0.0,255.0
150,0.0,100.0,100.0
151,675.0,450.0,1125.0
152,350.4,533.6,884.0
153,0.0,0.0,0.0
154,350.33,533.55,883.8799999999999
155,0.0,0.0,0.0
156,0.0,1250.0,1250.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,1450.0,0.0,1450.0
174,2900.0,0.0,2900.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,400.0,400.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,50.0,50.0
182,0.0,200.0,200.0
183,0.0,50.0,50.0
184,0.0,50.0,50.0
185,0.0,100.0,100.0
186,0.0,0.0,0.0
187,0.0,100.0,100.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,750.0,0.0,750.0
192,0.0,1580.0,1580.0
193,0.0,50.0,50.0
